event_time,event_type,user_id
2019-10-01 00:00:00+00:00,view,541312140
2019-10-01 00:00:00+00:00,view,554748717
2019-10-01 00:00:01+00:00,view,519107250
2019-10-01 00:00:01+00:00,view,550050854
2019-10-01 00:00:04+00:00,view,535871217
2019-10-01 00:00:05+00:00,view,512742880
2019-10-01 00:00:08+00:00,view,555447699
2019-10-01 00:00:08+00:00,view,550978835
2019-10-01 00:00:10+00:00,view,520571932
2019-10-01 00:00:11+00:00,view,537918940
2019-10-01 00:00:11+00:00,view,555158050
2019-10-01 00:00:11+00:00,view,530282093
2019-10-01 00:00:13+00:00,view,555444559
2019-10-01 00:00:15+00:00,view,541312140
2019-10-01 00:00:16+00:00,view,555446365
2019-10-01 00:00:17+00:00,view,513642368
2019-10-01 00:00:18+00:00,view,537192226
2019-10-01 00:00:18+00:00,view,519528062
2019-10-01 00:00:19+00:00,view,550050854
2019-10-01 00:00:19+00:00,view,535871217
2019-10-01 00:00:20+00:00,view,555446831
2019-10-01 00:00:20+00:00,view,555428858
2019-10-01 00:00:22+00:00,view,512742880
2019-10-01 00:00:23+00:00,view,519530528
2019-10-01 00:00:23+00:00,view,538645907
2019-10-01 00:00:24+00:00,view,555446831
2019-10-01 00:00:24+00:00,view,539512263
2019-10-01 00:00:25+00:00,view,554748717
2019-10-01 00:00:25+00:00,view,555217733
2019-10-01 00:00:25+00:00,view,525734504
2019-10-01 00:00:26+00:00,view,520571932
2019-10-01 00:00:26+00:00,view,555446365
2019-10-01 00:00:27+00:00,view,550978835
2019-10-01 00:00:27+00:00,view,539194858
2019-10-01 00:00:28+00:00,view,555447224
2019-10-01 00:00:28+00:00,view,548449430
2019-10-01 00:00:28+00:00,view,555447570
2019-10-01 00:00:30+00:00,view,515342595
2019-10-01 00:00:31+00:00,view,555444559
2019-10-01 00:00:31+00:00,view,545323115
2019-10-01 00:00:33+00:00,view,521242564
2019-10-01 00:00:33+00:00,view,513798668
2019-10-01 00:00:34+00:00,view,555447748
2019-10-01 00:00:35+00:00,view,515535834
2019-10-01 00:00:35+00:00,view,544648245
2019-10-01 00:00:35+00:00,view,526631741
2019-10-01 00:00:36+00:00,view,515454339
2019-10-01 00:00:36+00:00,view,554754045
2019-10-01 00:00:36+00:00,view,533078094
2019-10-01 00:00:36+00:00,view,512558158
2019-10-01 00:00:37+00:00,view,547028884
2019-10-01 00:00:41+00:00,view,551377651
2019-10-01 00:00:42+00:00,view,555428858
2019-10-01 00:00:42+00:00,view,551331813
2019-10-01 00:00:43+00:00,view,535871217
2019-10-01 00:00:44+00:00,view,513642368
2019-10-01 00:00:44+00:00,view,550978835
2019-10-01 00:00:44+00:00,view,532085144
2019-10-01 00:00:44+00:00,view,525856698
